event_date;rank_step4;reference_peak_utc;event_start_utc;event_duration_h;pre_peak_offset_h;konvergierter_komp_prozentsatz;rohe_teilnahmequote_vor_cap;finale_teilnahmequote;potenzielle_jasm_last_im_fenster_mwh;total_verschobene_energie_mwh;avg_srl_price_in_window_chf_kwh;total_srl_wert_chf;auszahlung_pro_kwh_verschoben_chf;kompensation_pro_haushalt_chf;kompensations_basis_energie_kwh;iterations_to_converge;converged;error_message
2024-01-10;2;2024-01-10 17:00;2024-01-10 17:00;1.5;0.0;;;;353.60115955750007;;0.18700685631564773;;;;;;;JASM/SRL data mismatch or empty for window
2024-01-10;2;2024-01-10 17:00;2024-01-10 17:00;3.0;0.0;;;;439.3786916769999;;0.15584393566771654;;;;;;;JASM/SRL data mismatch or empty for window
2024-01-10;2;2024-01-10 17:00;2024-01-10 17:00;4.5;0.0;;;;474.52420764025;;0.1448900347271051;;;;;;;JASM/SRL data mismatch or empty for window
2024-12-04;3;2024-12-04 16:45;2024-12-04 14:45;1.5;2.0;144.02451518354908;0.6505376344086021;0.629;114.723997797625;72.16139461470613;0.4337194793026092;30141.56833095297;0.4176965882088187;3.3413687522583384;8.0;14.0;True;
2024-12-04;3;2024-12-04 16:45;2024-12-04 14:45;3.0;2.0;118.95643527223115;0.5725806451612904;0.5725806451612904;504.85169315762494;289.06830817896275;0.37929676786619065;99727.03977977333;0.3449947190960558;2.7597892983157624;8.0;14.0;True;
2024-12-04;3;2024-12-04 16:45;2024-12-04 14:45;4.5;2.0;111.00292297899603;0.5725806451612904;0.5725806451612904;702.4964689325;402.23588140489926;0.3386424942810446;129491.04333869532;0.3219281255725341;2.5752678131127076;8.0;14.0;True;
2024-12-04;3;2024-12-04 16:45;2024-12-04 15:45;1.5;1.0;121.4175306722332;0.6505376344086021;0.629;310.946774487625;195.5855211527161;0.36990676509697296;68871.9855518528;0.35213233140134403;2.81688671159581;8.0;14.0;True;
2024-12-04;3;2024-12-04 16:45;2024-12-04 15:45;3.0;1.0;109.91506152135217;0.5725806451612904;0.5725806451612904;619.0173307776249;354.4373426226725;0.323925256616362;112985.10279092609;0.3187731347800109;2.55002942729537;8.0;14.0;True;
2024-12-04;3;2024-12-04 16:45;2024-12-04 15:45;4.5;1.0;;;;680.228273468875;;0.29242631834225336;;;;;;;JASM/SRL data mismatch or empty for window
2024-12-04;3;2024-12-04 16:45;2024-12-04 16:45;1.5;0.0;106.2292657477773;0.6505376344086021;0.629;379.22089358;238.52994206182;0.3069360035457192;73487.18105343025;0.3080836746037716;2.4645189653484336;8.0;14.0;True;
2024-12-04;3;2024-12-04 16:45;2024-12-04 16:45;3.0;0.0;;;;487.40798112462505;;0.27740204781763356;;;;;;;JASM/SRL data mismatch or empty for window
2024-12-04;3;2024-12-04 16:45;2024-12-04 16:45;4.5;0.0;;;;522.419989549875;;0.23925635155684918;;;;;;;JASM/SRL data mismatch or empty for window
