respondent_id,Geschirrspüler_choice,Backofen und Herd_choice,Fernseher und Entertainment-Systeme_choice,Bürogeräte_choice,Waschmaschine_choice,Geschirrspüler_pct,Backofen und Herd_pct,Fernseher und Entertainment-Systeme_pct,Bürogeräte_pct,Waschmaschine_pct
118867044486,"Ja, +","Ja, +","Ja, +","Ja, +","Ja, +",8.0,12.0,15.0,10.0,20.0
118866955443,"Ja, +","Ja, f",Nein,Nein,Nein,5.0,5.0,,,
118867044801,"Ja, +","Ja, +","Ja, +","Ja, f","Ja, +",20.0,5.0,5.0,0.0,30.0
118867044223,Nein,Nein,Nein,Nein,Nein,,,,,
118867043137,"Ja, f","Ja, f","Ja, f","Ja, f","Ja, f",3.0,3.0,3.0,3.0,3.0
118867044118,,,"Ja, f","Ja, +",,,,,,
118867043576,,,,,,,,,,
118867041751,"Ja, f","Ja, f","Ja, f","Ja, f","Ja, f",20.0,20.0,20.0,20.0,20.0
118867040792,"Ja, f",Nein,Nein,"Ja, f",Nein,100.0,,,100.0,
118867041382,"Ja, f","Ja, +","Ja, +",Nein,"Ja, f",,,,,
118867040503,"Ja, +","Ja, +","Ja, +","Ja, +","Ja, +",,,,,
118867040007,"Ja, +",Nein,Nein,"Ja, f",Nein,5.0,,,4.0,
118867040264,"Ja, +","Ja, +","Ja, +",Nein,Nein,6.0,10.0,9.0,,
118867038333,"Ja, +",Nein,"Ja, +",Nein,Nein,15.0,,14.0,,
118867036887,"Ja, +",Nein,"Ja, f",Nein,"Ja, +",3.0,,3.0,,3.0
118867037007,"Ja, +",Nein,Nein,"Ja, +","Ja, +",20.0,,,20.0,20.0
118867037498,Nein,Nein,Nein,Nein,Nein,,,,,
118867036948,"Ja, +","Ja, +",Nein,Nein,"Ja, +",,,,,
118867037754,"Ja, f","Ja, +","Ja, +","Ja, f","Ja, +",5.0,9.0,7.0,8.0,9.0
118867036605,"Ja, f","Ja, +",Nein,"Ja, f","Ja, f",,,,,
118867035459,"Ja, f","Ja, f","Ja, f","Ja, f","Ja, f",10.0,10.0,10.0,10.0,10.0
118867034269,"Ja, +","Ja, +",Nein,Nein,"Ja, +",,,,,
118867032938,"Ja, f","Ja, +","Ja, f","Ja, f","Ja, +",100.0,55.0,10.0,10.0,90.0
118867030915,"Ja, +","Ja, f","Ja, +","Ja, f",Nein,6.0,9.0,11.0,30.0,
118867031622,,Nein,Nein,"Ja, +","Ja, +",,,,,
118867028646,"Ja, +","Ja, +","Ja, +","Ja, f",Nein,5.0,5.0,5.0,5.0,
118867029398,"Ja, f","Ja, f","Ja, +","Ja, +","Ja, f",4.0,7.0,11.0,10.0,6.0
118867029770,"Ja, +","Ja, f","Ja, +","Ja, +","Ja, +",,,,,
118867026886,"Ja, +",Nein,"Ja, +",Nein,Nein,5.0,,20.0,,
118867027259,"Ja, +","Ja, +","Ja, f","Ja, +","Ja, +",5.0,5.0,8.0,9.0,9.0
118867026090,"Ja, +","Ja, +","Ja, +","Ja, +","Ja, +",20.0,30.0,20.0,10.0,20.0
118867025702,Nein,Nein,Nein,Nein,Nein,,,,,
118867022508,Nein,Nein,Nein,Nein,Nein,,,,,
118867024898,Nein,Nein,"Ja, +","Ja, +",Nein,,,,,
118867024317,,,,,,,,,,
118867022838,"Ja, f","Ja, +","Ja, f","Ja, +","Ja, +",,5.0,,20.0,10.0
118867018284,"Ja, +","Ja, +","Ja, +","Ja, +","Ja, +",5.0,5.0,5.0,5.0,5.0
118867014898,"Ja, +",Nein,Nein,"Ja, f",Nein,10.0,,,,
118867016042,,,,,,,,,,
118867018967,"Ja, +","Ja, +","Ja, +","Ja, +","Ja, +",10.0,10.0,20.0,10.0,10.0
118867019545,"Ja, +",,,,,,,,,
118867017445,"Ja, +","Ja, +",Nein,"Ja, f","Ja, +",,,,,
118867016415,"Ja, +",Nein,"Ja, f","Ja, f",Nein,27.0,,8.0,10.0,
118867015217,"Ja, f","Ja, +","Ja, +","Ja, f","Ja, +",7.0,8.0,7.0,10.0,12.0
118867013213,"Ja, f","Ja, +","Ja, +",Nein,"Ja, +",20.0,20.0,20.0,,20.0
118867013132,Nein,Nein,Nein,Nein,Nein,,,,,
118867012300,"Ja, +","Ja, +","Ja, +","Ja, +","Ja, +",,,,,
118867013091,"Ja, f","Ja, f","Ja, f","Ja, f","Ja, f",20.0,20.0,20.0,20.0,20.0
118867011523,"Ja, +","Ja, +","Ja, +","Ja, +","Ja, +",,,,,
118867010888,"Ja, f",Nein,"Ja, +","Ja, +","Ja, +",6.0,,8.0,5.0,10.0
118867008679,"Ja, +",Nein,"Ja, +",Nein,Nein,15.0,,10.0,,
118867006949,"Ja, f","Ja, +","Ja, f","Ja, +","Ja, +",10.0,10.0,10.0,15.0,15.0
118867006094,"Ja, f","Ja, f","Ja, f",Nein,Nein,100.0,100.0,100.0,,
118867008529,,,,,,,,,,
118867006775,"Ja, +",Nein,Nein,"Ja, f",Nein,17.0,,,5.0,
118867003864,"Ja, f","Ja, f","Ja, +","Ja, f",Nein,10.0,10.0,6.0,0.0,
118867004785,Nein,Nein,Nein,Nein,Nein,,,,,
118867002893,"Ja, f","Ja, +","Ja, +","Ja, f","Ja, f",5.0,10.0,5.0,0.0,5.0
118867002033,"Ja, f","Ja, f","Ja, f","Ja, f",Nein,20.0,20.0,20.0,20.0,
118867002447,"Ja, f","Ja, +",,"Ja, +","Ja, f",,,,,
118867000777,"Ja, +",Nein,Nein,"Ja, +","Ja, f",10.0,,,10.0,10.0
118866999088,"Ja, f",Nein,Nein,"Ja, +","Ja, f",20.0,,,30.0,20.0
118866997913,"Ja, +","Ja, +",Nein,"Ja, +","Ja, +",8.0,15.0,,5.0,20.0
118866998775,"Ja, f","Ja, +","Ja, f","Ja, f","Ja, f",4.0,6.0,8.0,9.0,10.0
118866997312,"Ja, +","Ja, +",Nein,"Ja, f",Nein,13.0,26.0,,44.0,
118866993456,"Ja, f","Ja, +","Ja, +",Nein,"Ja, f",0.0,20.0,20.0,,0.0
118866994852,"Ja, +","Ja, +",Nein,"Ja, f","Ja, +",9.0,11.0,,5.0,18.0
118866994419,"Ja, f","Ja, +","Ja, f",Nein,"Ja, +",,5.0,,,10.0
118866996124,"Ja, f","Ja, f","Ja, f","Ja, f","Ja, f",,,,,
118866995343,"Ja, +","Ja, +",Nein,"Ja, f","Ja, +",100.0,50.0,,,50.0
118866994047,,,,,,,,,,
118866994425,"Ja, f","Ja, f","Ja, +","Ja, f","Ja, f",6.0,2.0,2.0,8.0,5.0
118866992134,"Ja, f","Ja, f","Ja, f","Ja, f","Ja, f",,,,,
118866992596,"Ja, f","Ja, +",,"Ja, f","Ja, +",,,,,
118866990024,"Ja, +",Nein,Nein,Nein,"Ja, +",10.0,,,,10.0
118866989350,"Ja, +",Nein,Nein,Nein,Nein,51.0,,,,
118866989292,Nein,Nein,"Ja, +",Nein,"Ja, f",,,,,
118866987521,"Ja, f","Ja, +","Ja, f",Nein,"Ja, f",,,,,
118866987307,"Ja, +",Nein,Nein,"Ja, f","Ja, f",10.0,,,10.0,10.0
118866990134,,,,,,,,,,
118866986337,"Ja, +",Nein,"Ja, +",Nein,Nein,20.0,,20.0,,
118866989972,,,,,,,,,,
118866984327,"Ja, f","Ja, +","Ja, f","Ja, +",Nein,10.0,5.0,5.0,10.0,
118866973987,"Ja, +",,"Ja, f","Ja, f","Ja, +",65.0,,55.0,85.0,70.0
118866983923,"Ja, f","Ja, +",Nein,Nein,Nein,,10.0,,,
118866982200,"Ja, +","Ja, +","Ja, +","Ja, +","Ja, +",5.0,5.0,5.0,5.0,5.0
118866983403,"Ja, f","Ja, f","Ja, f","Ja, f","Ja, f",20.0,20.0,20.0,20.0,20.0
118866982535,"Ja, +",Nein,"Ja, +","Ja, +","Ja, +",20.0,,20.0,20.0,20.0
118866979137,"Ja, +",Nein,"Ja, +","Ja, f","Ja, +",100.0,,100.0,50.0,100.0
118866981859,"Ja, +","Ja, +","Ja, +","Ja, +","Ja, +",,,,,
118866981183,"Ja, +","Ja, f","Ja, +","Ja, f","Ja, +",18.0,9.0,20.0,5.0,20.0
118866979933,"Ja, f","Ja, +","Ja, +","Ja, f",Nein,9.0,12.0,8.0,14.0,
118866979138,,,,,,,,,,
118866974650,Nein,Nein,Nein,Nein,Nein,,,,,
118866975327,"Ja, f","Ja, +","Ja, +","Ja, +","Ja, +",20.0,7.0,7.0,14.0,39.0
118866974083,Nein,Nein,Nein,Nein,Nein,,,,,
118866974195,"Ja, +",Nein,"Ja, +","Ja, f",Nein,5.0,,10.0,,
118866974381,"Ja, +","Ja, +","Ja, +","Ja, +","Ja, +",5.0,10.0,5.0,20.0,5.0
118866975040,"Ja, f","Ja, f","Ja, f","Ja, +","Ja, +",96.0,7.0,9.0,9.0,10.0
118866974076,"Ja, +","Ja, +",Nein,Nein,"Ja, +",,,,,
118866973535,"Ja, f","Ja, +",Nein,Nein,"Ja, f",1.0,50.0,,,1.0
118866970685,,,,,,,,,,
118866971710,"Ja, +","Ja, +","Ja, +","Ja, +","Ja, +",,,,,
118866969397,"Ja, +","Ja, +",Nein,Nein,"Ja, +",,,,,
118866968787,,,,,,,,,,
118866969369,,Nein,,,,,,,,
118866968347,"Ja, f","Ja, f","Ja, +","Ja, +","Ja, +",15.0,15.0,20.0,39.0,25.0
118866964905,Nein,Nein,"Ja, +",Nein,Nein,,,100.0,,
118866959282,Nein,Nein,"Ja, +",Nein,"Ja, +",,,50.0,,50.0
118866960887,"Ja, +","Ja, +","Ja, +","Ja, +","Ja, +",25.0,15.0,10.0,10.0,20.0
118866963297,"Ja, f","Ja, f",Nein,Nein,"Ja, f",30.0,20.0,,,40.0
118866960088,"Ja, +","Ja, +","Ja, f","Ja, f","Ja, +",5.0,5.0,10.0,10.0,5.0
118866962159,"Ja, +","Ja, +","Ja, +","Ja, +","Ja, +",40.0,60.0,20.0,15.0,60.0
118866958232,"Ja, f",,Nein,"Ja, f",Nein,,,,,
118866959132,"Ja, f","Ja, f",,"Ja, f",,,,,,
118866959416,"Ja, +","Ja, +","Ja, +","Ja, +","Ja, +",10.0,10.0,10.0,10.0,10.0
118866953261,"Ja, +",Nein,"Ja, +",Nein,"Ja, +",5.0,,3.0,,5.0
118866955618,"Ja, f",Nein,"Ja, +","Ja, +","Ja, +",,,,,
118866957825,"Ja, f","Ja, +","Ja, +","Ja, +",Nein,,,,,
118866958454,,,,,,,,,,
118866956552,"Ja, f","Ja, +","Ja, +","Ja, f","Ja, +",10.0,20.0,30.0,0.0,10.0
118866956915,"Ja, f","Ja, f","Ja, f","Ja, f","Ja, f",6.0,2.0,13.0,8.0,5.0
118866955817,Nein,Nein,Nein,"Ja, +",Nein,,,,,
118866954185,"Ja, f","Ja, f","Ja, f","Ja, +","Ja, +",,,,,
118866951530,"Ja, f","Ja, +","Ja, +","Ja, +","Ja, +",0.0,60.0,80.0,48.0,79.0
118866950613,"Ja, f","Ja, +","Ja, +","Ja, f","Ja, f",10.0,10.0,40.0,10.0,10.0
118866948040,"Ja, +","Ja, +","Ja, +","Ja, +","Ja, +",10.0,10.0,10.0,10.0,10.0
118866943584,"Ja, f","Ja, f","Ja, f","Ja, f","Ja, f",,,,,
118866946022,"Ja, +",Nein,Nein,Nein,Nein,52.0,,,,
118866945395,,,,,,,,,,
118866942004,"Ja, +","Ja, +","Ja, +","Ja, +","Ja, +",100.0,100.0,100.0,100.0,100.0
118866945099,Nein,Nein,Nein,Nein,Nein,,,,,
118866946286,,"Ja, +",,"Ja, +",,,,,,
118866943931,,,,,,,,,,
118866943455,,,,,,,,,,
118866944075,"Ja, +","Ja, +","Ja, +","Ja, +","Ja, +",20.0,20.0,20.0,20.0,20.0
118866943226,"Ja, +","Ja, +","Ja, +","Ja, f","Ja, +",,,,,
118866943215,Nein,,,,,,,,,
118866943315,"Ja, f","Ja, +",Nein,"Ja, f","Ja, +",6.0,3.0,,8.0,4.0
118866942164,"Ja, +",Nein,Nein,Nein,"Ja, +",,,,,
118866944373,,,,,,,,,,
118866941933,"Ja, +","Ja, +","Ja, +","Ja, +","Ja, +",20.0,47.0,10.0,26.0,26.0
118866940774,"Ja, f",Nein,"Ja, +",Nein,"Ja, +",,,5.0,,15.0
118866940556,"Ja, +","Ja, +","Ja, +","Ja, f",Nein,3.0,5.0,6.0,7.0,
118866936324,"Ja, +","Ja, +","Ja, f","Ja, +","Ja, +",20.0,40.0,0.0,10.0,20.0
118866939705,"Ja, +","Ja, +","Ja, +","Ja, +","Ja, f",14.0,23.0,27.0,17.0,17.0
118866938193,,"Ja, +",Nein,,,,,,,
118866937507,"Ja, +","Ja, +","Ja, +","Ja, +","Ja, +",10.0,10.0,5.0,5.0,15.0
118866935766,"Ja, +","Ja, +","Ja, +",Nein,Nein,10.0,20.0,10.0,,
118866937898,"Ja, +","Ja, +","Ja, +","Ja, +","Ja, +",15.0,15.0,15.0,15.0,15.0
118866936563,"Ja, f",Nein,"Ja, f","Ja, f",Nein,5.0,,6.0,5.0,
118866937146,"Ja, +",Nein,Nein,Nein,Nein,10.0,,,,
118866934905,"Ja, f","Ja, +",Nein,"Ja, +","Ja, f",11.0,5.0,,9.0,7.0
118866936667,"Ja, f",Nein,Nein,Nein,"Ja, f",10.0,,,,
118866935206,"Ja, +","Ja, +","Ja, +","Ja, f","Ja, f",12.0,15.0,41.0,10.0,21.0
118866936450,"Ja, f","Ja, +","Ja, +","Ja, +","Ja, +",8.0,10.0,12.0,13.0,25.0
118866935483,,"Ja, +",,"Ja, +","Ja, +",,,,,
118866936312,"Ja, +",Nein,"Ja, +","Ja, +","Ja, f",35.0,,10.0,10.0,10.0
118866935967,"Ja, f","Ja, f","Ja, f","Ja, f","Ja, f",,,,,
118866934557,Nein,"Ja, +","Ja, f","Ja, f","Ja, +",,9.0,30.0,15.0,10.0
118866935058,"Ja, f","Ja, f","Ja, f","Ja, +","Ja, f",,,,,
118866928634,"Ja, +","Ja, +","Ja, +","Ja, +","Ja, +",10.0,10.0,10.0,10.0,10.0
118866933543,"Ja, +",Nein,Nein,Nein,"Ja, +",20.0,,,,20.0
118866929307,"Ja, f","Ja, +","Ja, f","Ja, +",,,,,,
118866933392,"Ja, f","Ja, +","Ja, f","Ja, +","Ja, +",4.0,15.0,0.0,25.0,10.0
118866931995,"Ja, +","Ja, +",Nein,"Ja, f","Ja, f",5.0,5.0,,,
118866934042,,,,"Ja, f","Ja, f",,,,,
118866935000,,,,,,,,,,
118866933882,Nein,Nein,Nein,Nein,Nein,,,,,
118866930245,"Ja, f",Nein,Nein,Nein,"Ja, f",5.0,,,,40.0
118866930393,"Ja, +",Nein,Nein,,Nein,,,,,
118866932976,"Ja, +","Ja, +","Ja, +","Ja, +","Ja, +",5.0,6.0,7.0,10.0,9.0
118866931782,"Ja, +",Nein,"Ja, f",Nein,Nein,10.0,,9.0,,
118866930866,"Ja, +","Ja, +","Ja, +","Ja, +","Ja, +",,,,,
118866931402,"Ja, +","Ja, f","Ja, f","Ja, f","Ja, f",,,,,
118866930240,,"Ja, f","Ja, f",,,,,,,
118866930534,"Ja, +",Nein,Nein,Nein,Nein,10.0,,,,
118866928259,Nein,Nein,"Ja, f","Ja, f",Nein,,,,,
118866931009,"Ja, f","Ja, f","Ja, +",Nein,Nein,7.0,43.0,16.0,,
118866928820,"Ja, f","Ja, f","Ja, f","Ja, f","Ja, f",,,,,
118866930110,"Ja, +","Ja, +","Ja, +",Nein,"Ja, +",,,,,
118866926962,"Ja, +",Nein,"Ja, +","Ja, +",Nein,15.0,,10.0,10.0,
118866926796,"Ja, f","Ja, f",Nein,Nein,Nein,10.0,10.0,,,
118866928003,"Ja, f","Ja, +",Nein,Nein,Nein,,4.0,,,
118866928061,"Ja, f","Ja, f","Ja, f","Ja, f","Ja, f",,,,,
118866807581,"Ja, f",Nein,Nein,Nein,"Ja, f",0.0,,,,0.0
118866331968,"Ja, +",Nein,Nein,"Ja, f","Ja, +",20.0,,,50.0,50.0
118866098373,"Ja, +","Ja, +","Ja, +",Nein,"Ja, +",60.0,80.0,90.0,,80.0
118866070482,"Ja, f",Nein,"Ja, +",Nein,"Ja, f",5.0,,8.0,,5.0
118866049453,"Ja, +","Ja, +","Ja, f","Ja, f","Ja, +",10.0,15.0,1.0,1.0,10.0
118865993888,"Ja, +","Ja, +","Ja, +",Nein,"Ja, +",10.0,10.0,15.0,,5.0
118865937239,"Ja, +","Ja, +","Ja, +","Ja, +","Ja, +",10.0,20.0,2.0,2.0,10.0
118865545609,"Ja, f",Nein,Nein,Nein,Nein,10.0,,,,
118865337253,"Ja, +","Ja, +","Ja, +","Ja, +","Ja, +",,,,,
118864902528,"Ja, +",Nein,"Ja, +",Nein,Nein,8.0,,8.0,,
118864896513,"Ja, f",Nein,"Ja, +",Nein,Nein,0.0,,20.0,,
118864429794,"Ja, f","Ja, f","Ja, f","Ja, f","Ja, f",,,,,
118864377677,"Ja, +",Nein,Nein,"Ja, +",Nein,20.0,,,10.0,
118864359644,"Ja, +",Nein,Nein,Nein,Nein,30.0,,,,
118864248189,"Ja, f","Ja, +","Ja, +",Nein,"Ja, f",,2.0,2.0,,
118864149111,"Ja, f","Ja, +","Ja, f","Ja, +","Ja, f",,10.0,,10.0,
118864023864,,,,,,,,,,
118864004036,"Ja, +",Nein,"Ja, f",Nein,"Ja, +",10.0,,15.0,,10.0
118863985701,"Ja, f","Ja, f","Ja, f","Ja, f","Ja, f",,,,,
118863934625,"Ja, f",Nein,"Ja, f","Ja, +","Ja, +",0.0,,0.0,10.0,10.0
118863922119,"Ja, f","Ja, +","Ja, +",Nein,"Ja, +",5.0,15.0,3.0,,50.0
118863893346,"Ja, +","Ja, +","Ja, +",Nein,Nein,10.0,9.0,10.0,,
118863891002,"Ja, f","Ja, +","Ja, +",Nein,"Ja, +",2.0,6.0,2.0,,4.0
118863872491,Nein,Nein,,Nein,Nein,,,,,
118863862058,"Ja, +",Nein,Nein,"Ja, f",Nein,10.0,,,10.0,
118863784974,"Ja, +",Nein,"Ja, f","Ja, +","Ja, f",20.0,,,40.0,
118863593040,"Ja, +",Nein,"Ja, f","Ja, +",Nein,50.0,,50.0,50.0,
118863567511,"Ja, f",Nein,Nein,"Ja, +","Ja, +",,,,20.0,40.0
118863548745,"Ja, +",Nein,"Ja, +","Ja, f","Ja, +",2.0,,3.0,1.0,5.0
118863432342,"Ja, f","Ja, f","Ja, f",Nein,"Ja, f",,,,,
118863395010,"Ja, +",Nein,"Ja, +",Nein,Nein,10.0,,20.0,,
118863368596,"Ja, +",Nein,"Ja, f",Nein,Nein,50.0,,0.0,,
118863364986,"Ja, f","Ja, +","Ja, f","Ja, +","Ja, +",,25.0,,10.0,20.0
118863351926,Nein,Nein,Nein,Nein,Nein,,,,,
118863342592,"Ja, f","Ja, +","Ja, f","Ja, +","Ja, f",,30.0,,30.0,
118863331096,"Ja, f",Nein,Nein,"Ja, f","Ja, +",25.0,,,20.0,50.0
118863327593,Nein,Nein,Nein,Nein,Nein,,,,,
118863326262,"Ja, f","Ja, +",Nein,Nein,"Ja, +",10.0,20.0,,,10.0
118863321869,"Ja, +","Ja, +","Ja, +","Ja, +","Ja, +",20.0,20.0,20.0,20.0,20.0
118863315318,"Ja, f",Nein,"Ja, f",Nein,Nein,1.0,,0.0,,
118752452689,"Ja, f",Nein,"Ja, +",Nein,"Ja, +",15.0,,,,15.0
118745041241,"Ja, f",Nein,"Ja, +",Nein,Nein,30.0,,58.0,,
118745035969,,,,,,,,,,
118745035159,"Ja, f",Nein,Nein,Nein,"Ja, +",,,,,20.0
118728905344,"Ja, f","Ja, f","Ja, f",Nein,"Ja, f",0.0,,,,
118728041541,Nein,Nein,Nein,Nein,Nein,,,,,
118725909916,"Ja, f","Ja, f","Ja, +","Ja, +","Ja, f",,,,,
118725489712,"Ja, +",Nein,Nein,Nein,Nein,10.0,,,,
118725204330,"Ja, +","Ja, +",Nein,Nein,"Ja, +",20.0,40.0,,,20.0
118725167746,"Ja, +","Ja, +","Ja, f","Ja, f",Nein,,,,,
118725152865,Nein,Nein,Nein,Nein,Nein,,,,,
118725110569,"Ja, f",Nein,"Ja, +",Nein,"Ja, +",,,,,40.0
118723447559,,"Ja, +",,"Ja, f",,,,,,
118723237756,"Ja, f","Ja, f","Ja, f","Ja, f","Ja, f",,,,,
118722584838,"Ja, f","Ja, +","Ja, f","Ja, f","Ja, f",,,,,
118722351539,"Ja, +","Ja, +",Nein,Nein,"Ja, +",5.0,5.0,,,5.0
118721763559,"Ja, f",Nein,"Ja, f","Ja, f",Nein,,,,,
118721723631,Nein,"Ja, +",Nein,Nein,"Ja, +",,100.0,,,100.0
118721622091,"Ja, f",Nein,Nein,"Ja, f",Nein,,,,,
118721620651,"Ja, f",Nein,"Ja, f","Ja, f","Ja, f",10.0,,10.0,10.0,10.0
118721595224,"Ja, +",Nein,Nein,Nein,"Ja, +",,,,,
118721556715,,,,,,,,,,
118721543449,Nein,Nein,Nein,Nein,Nein,,,,,
118721499184,"Ja, f","Ja, f","Ja, f","Ja, f","Ja, f",,,,,
118721456430,Nein,Nein,Nein,Nein,Nein,,,,,
118721400034,,,,"Ja, f",Nein,,,,,
118721395041,"Ja, f","Ja, +","Ja, +",Nein,"Ja, +",,10.0,10.0,,20.0
118721391105,,"Ja, f","Ja, f",,"Ja, f",,,,,
118721337485,"Ja, +",Nein,"Ja, +","Ja, f",Nein,5.0,,30.0,,
118721331365,"Ja, +",Nein,"Ja, +",Nein,Nein,10.0,,15.0,,
118721328556,"Ja, f",Nein,"Ja, +",Nein,Nein,10.0,,20.0,,
118721197328,"Ja, +",Nein,"Ja, +",Nein,"Ja, +",10.0,,50.0,,10.0
118721153752,"Ja, +","Ja, +","Ja, +","Ja, +","Ja, +",100.0,100.0,100.0,100.0,100.0
118721125261,"Ja, +",Nein,"Ja, +",Nein,"Ja, +",30.0,,30.0,,30.0
118721006467,Nein,Nein,Nein,Nein,Nein,,,,,
118720956129,"Ja, +","Ja, +","Ja, +",Nein,"Ja, +",10.0,10.0,10.0,,10.0
118720912499,"Ja, +",Nein,"Ja, f","Ja, +","Ja, +",25.0,,0.0,25.0,25.0
118720905950,"Ja, +",Nein,Nein,Nein,"Ja, +",,,,,
118720902903,"Ja, +","Ja, +","Ja, +","Ja, +","Ja, +",50.0,50.0,50.0,50.0,50.0
118720900408,"Ja, f","Ja, +","Ja, +","Ja, +","Ja, f",25.0,40.0,75.0,5.0,25.0
118720897761,Nein,Nein,"Ja, +","Ja, +","Ja, +",,,15.0,20.0,20.0
118720897461,"Ja, f","Ja, f","Ja, f","Ja, f","Ja, f",,,,,
118720895378,"Ja, +","Ja, +","Ja, +",Nein,"Ja, +",50.0,50.0,50.0,,50.0
118720891261,"Ja, f","Ja, +",Nein,"Ja, +","Ja, f",5.0,10.0,,10.0,10.0
118720890752,"Ja, +",Nein,Nein,Nein,Nein,20.0,,,,
118720890310,,,,,,,,,,
118720887674,"Ja, +",Nein,Nein,Nein,Nein,10.0,,,,
118720887094,"Ja, +",Nein,Nein,"Ja, f","Ja, +",,,,,
118720882393,"Ja, f","Ja, +","Ja, +","Ja, f","Ja, +",,,,,
118720881324,Nein,Nein,Nein,Nein,Nein,,,,,
118720881244,,,,,,,,,,
118720880281,"Ja, f",,"Ja, +",Nein,"Ja, +",72.0,,12.0,,27.0
118720878032,"Ja, +",Nein,"Ja, +",Nein,"Ja, +",10.0,,5.0,,10.0
118720876610,"Ja, f",Nein,"Ja, f","Ja, +","Ja, +",,,,10.0,50.0
118720875003,Nein,Nein,Nein,Nein,Nein,,,,,
118720874823,"Ja, f","Ja, +","Ja, f","Ja, f","Ja, f",,10.0,,,
118720874594,"Ja, f","Ja, +","Ja, f","Ja, f","Ja, f",,10.0,,30.0,10.0
118720874067,"Ja, f","Ja, +","Ja, +","Ja, +","Ja, f",5.0,,10.0,10.0,
118720873582,Nein,Nein,"Ja, f","Ja, +",Nein,,,,30.0,
118720873581,"Ja, +",Nein,"Ja, f","Ja, f","Ja, +",10.0,,,,20.0
118720873448,"Ja, f","Ja, +",Nein,Nein,Nein,,,,,
118720872081,Nein,Nein,Nein,Nein,Nein,,,,,
118720872071,Nein,Nein,Nein,Nein,Nein,,,,,
118720869708,"Ja, f","Ja, f","Ja, f",Nein,"Ja, f",,,,,
118720869178,"Ja, f","Ja, f","Ja, f","Ja, f","Ja, f",,,,,
118720868828,Nein,Nein,Nein,Nein,Nein,,,,,
118720617197,Nein,Nein,"Ja, +",Nein,Nein,,,10.0,,
118720359488,"Ja, +","Ja, +","Ja, +",Nein,"Ja, +",10.0,20.0,,,10.0
118720304414,"Ja, +","Ja, +","Ja, f",Nein,"Ja, +",10.0,5.0,0.0,,
118720210295,"Ja, f","Ja, +","Ja, +",Nein,Nein,10.0,10.0,10.0,,
118720095220,Nein,Nein,Nein,"Ja, f",Nein,,,,10.0,
118719940488,"Ja, f","Ja, f","Ja, f","Ja, f","Ja, f",,,,,
118719844221,"Ja, +",Nein,Nein,Nein,"Ja, +",40.0,,,,45.0
118719800343,"Ja, +","Ja, +","Ja, +","Ja, +","Ja, +",,,,,
118719787450,"Ja, f","Ja, f","Ja, f","Ja, f","Ja, +",,,,,
118719777684,"Ja, +","Ja, +","Ja, +","Ja, +","Ja, +",5.0,10.0,10.0,5.0,5.0
