,Computer,Cooking,DVB,Dishwasher,Freezers,Lighting,Music,Others,Refrigerators,STB,TV,Tumble dryer,Washing machine
2024-09-01 07:30:00+02:00,16617.1027329,296249.2778875,1213.1512176,39998.257543499996,54807.1919415,28868.9323575,65790.7655445,294366.4302625,112917.08837,3708.20378585,5439.591776225,216.47314829999996,63674.77990650001
2024-09-01 07:45:00+02:00,19473.167265199998,299205.20194375,1359.566019625,50680.236861,54807.1919415,28868.9323575,69185.35821375,310064.02949625,112917.08837,4155.74562205,6096.0942319375,324.70972244999996,80088.31236600001
2024-09-01 08:00:00+02:00,22329.231797499997,302161.12600000005,1505.98082165,61362.2161785,54807.1919415,28868.9323575,72579.950883,325761.62873,112917.08837,4603.28745825,6752.59668765,432.9462965999999,96501.84482550001
2024-09-01 08:15:00+02:00,26743.149710125,298548.32993375004,1589.6464227625002,72169.135631,54807.1919415,28868.9323575,71808.90275925,338381.88375000004,112917.08837,4859.0256504125,7127.7409484125,2047.58183685,106869.99827162501
2024-09-01 08:30:00+02:00,31157.06762275,294935.5338675,1673.312023875,82976.0550835,54807.1919415,28868.9323575,71037.8546355,351002.13877,112917.08837,5114.763842575,7502.885209175,3662.2173771,117238.15171774999
2024-09-01 08:45:00+02:00,35570.985535375,291322.73780125,1756.9776249875,93782.974536,54807.1919415,28868.9323575,70266.80651175001,363622.39379,112917.08837,5370.5020347375,7878.029469937499,5276.85291735,127606.305163875
2024-09-01 09:00:00+02:00,39984.903448,287709.941735,1840.6432261,104589.8939885,54807.1919415,28868.9323575,69495.758388,376242.64881000004,112917.08837,5626.2402268999995,8253.1737307,6891.4884575999995,137974.45861
2024-09-01 09:15:00+02:00,42062.041290125,269297.5598575,2001.0022950375,100956.68509862499,54807.1919415,28868.9323575,68102.79747525,387678.44806625,112917.08837,6116.4050952375,8972.200229125,8496.531407287499,153437.03048375
2024-09-01 09:30:00+02:00,44139.17913225,250885.17798,2161.361363975,97323.47620875,54807.1919415,28868.9323575,66709.8365625,399114.2473225,112917.08837,6606.569963575001,9691.22672755,10101.574356975,168899.6023575
2024-09-01 09:45:00+02:00,46216.316974375,232472.7961025,2321.7204329125,93690.267318875,54807.1919415,28868.9323575,65316.87564975,410550.04657875,112917.08837,7096.734831912501,10410.253225975,11706.6173066625,184362.17423125
2024-09-01 10:00:00+02:00,48293.4548165,214060.41422500001,2482.0795018500003,90057.058429,54807.1919415,28868.9323575,63923.914737,421985.845835,112917.08837,7586.899700250001,11129.2797244,13311.66025635,199824.746105
2024-09-01 10:15:00+02:00,44658.463593124994,279925.15706625,2593.6336367875,80407.169068875,54807.1919415,28868.9323575,62875.59569775,467291.07235,112917.08837,7927.8839569875,11629.472072325,20648.3312663875,192078.385865
2024-09-01 10:30:00+02:00,41023.47236975,345789.8999075,2705.1877717250004,70757.27970875001,54807.1919415,28868.9323575,61827.2766585,512596.298865,112917.08837,8268.868213725,12129.664420250001,27985.002276425002,184332.02562499998
2024-09-01 10:45:00+02:00,37388.481146375,411654.64274875,2816.7419066625002,61107.390348625,54807.1919415,28868.9323575,60778.95761925,557901.52538,112917.08837,8609.8524704625,12629.856768175,35321.6732864625,176585.665385
2024-09-01 11:00:00+02:00,33753.489923,477519.38558999996,2928.2960416,51457.5009885,54807.1919415,28868.9323575,59730.63858,603206.751895,112917.08837,8950.8367272,13130.0491161,42658.3442965,168839.305145
2024-09-01 11:15:00+02:00,32844.74211875,434393.66111375,3486.0667162625,50970.5051885,54807.1919415,28868.9323575,57205.40840325,579880.3523275,112917.08837,10655.7580079,15631.010853200001,56559.15496775,154677.86078125
2024-09-01 11:30:00+02:00,31935.994314500003,391267.9366375,4043.837390925,50483.5093885,54807.1919415,28868.9323575,54680.1782265,556553.95276,112917.08837,12360.6792886,18131.9725903,70459.965639,140516.4164175
2024-09-01 11:45:00+02:00,31027.24651025,348142.21216125,4601.608065587499,49996.513588500005,54807.1919415,28868.9323575,52154.94804975,533227.5531925,112917.08837,14065.6005693,20632.9343274,84360.77631025,126354.97205375
2024-09-01 12:00:00+02:00,30118.498706,305016.48768500006,5159.37874025,49509.5177885,54807.1919415,28868.9323575,49629.717873,509901.153625,112917.08837,15770.521850000001,23133.8960645,98261.5869815,112193.52769
2024-09-01 12:15:00+02:00,33104.384352375,247188.81167862503,6679.30382825,94472.594552625,54807.1919415,28868.9323575,46544.432453999994,469523.4235875,112917.08837,20416.43234,29949.016793999996,108887.07662600001,107205.70525687501
2024-09-01 12:30:00+02:00,36090.269998749995,189361.13567225,8199.22891625,139435.67131675,54807.1919415,28868.9323575,43459.147035,429145.69355,112917.08837,25062.34283,36764.137523499994,119512.56627050001,102217.88282375
2024-09-01 12:45:00+02:00,39076.155645125,131533.459665875,9719.15400425,184398.74808087497,54807.1919415,28868.9323575,40373.861616,388767.9635125,112917.08837,29708.25332,43579.25825299999,130138.055915,97230.060390625
2024-09-01 13:00:00+02:00,42062.0412915,73705.7836595,11239.07909225,229361.824845,54807.1919415,28868.9323575,37288.576196999995,348390.23347499996,112917.08837,34354.16381,50394.3789825,140763.5455595,92242.2379575
